complaint_id,complaint_title,complaint_description,source,sector_id,category,sub_category,priority,urgency_score,created_at,resolved_at,status,resolution_time_days,assigned_department,assigned_officer,citizen_satisfaction,latitude,longitude,resolution_notes
GRV-2025-00001,Sewer Line Burst issue in Sector 26,The sewage smell from the drain near Sector 26 Phase A is affecting the entire neighborhood.,Web Portal,SEC-26,Sewerage,Sewer Line Burst,P3-Medium,0.41,2025-09-18T13:36:26,,In Progress,,MCC Public Health Department,Amarjit Kaur,,30.714985,76.793457,
GRV-2025-00002,Roof Jutting Out issue in Sector 24,Tree nursery has been illegally set up on the road margin near Sector 24 Phase A.,Mobile App,SEC-24,Encroachment,Roof Jutting Out,P2-High,0.8,2025-06-06T06:22:50,2025-06-07T12:22:50,Resolved,1,MCC Town Planning Department,Gurpreet Sandhu,4,30.750261,76.80172,Notice issued to occupant
GRV-2025-00003,Waterlogging on main road in Sector 14,The footpath/road at Sector 14 Sector 30 Chowk has been damaged. Senior citizens are finding it difficult to walk.,Web Portal,SEC-14,Roads,Waterlogging on Road,P4-Low,0.21,2026-02-18T07:18:12,2026-02-27T11:18:12,Resolved,9,MCC Engineering Department,Er. Harpreet Singh,3,30.724806,76.771858,Repaired using hot-mix patching
GRV-2025-00004,New Connection Delay issue in Sector 33,There is no water supply in Sector 33 since 12 days. Residents are facing severe hardship.,Mobile App,SEC-33,Water Supply,New Connection Delay,P3-Medium,0.33,2025-06-19T18:47:28,2025-07-05T00:47:28,Resolved,15,MCC Public Health Department,Raju Kumar,3,30.739802,76.813945,Pipeline repaired
GRV-2025-00005,Road signage missing at junction in Sector 21,"After the last rain, the Road Signage Missing near petrol pump in Sector 21 has worsened. Multiple vehicles have been damaged.",Web Portal,SEC-21,Roads,Road Signage Missing,P3-Medium,0.38,2025-09-16T19:10:44,2025-10-04T01:10:44,Resolved,17,MCC Engineering Department,Er. Harpreet Singh,1,30.769603,76.768205,Footpath relaid
GRV-2025-00006,Road surface cracked and uneven in Sector 21,The road in front of main market in Sector 21 has a Cracked Road Surface. Vehicles are getting damaged. Immediate action required.,Voice Call,SEC-21,Roads,Cracked Road Surface,P3-Medium,0.32,2025-11-24T17:23:24,2025-12-15T18:23:24,Resolved,21,MCC Engineering Department,Er. Harpreet Singh,3,30.735994,76.769677,Manhole cover replaced
GRV-2025-00007,Underground Cable Fault issue in Sector 48,More than half the streetlights in Sector 48 are non-functional. The entire area feels unsafe after sunset.,Mobile App,SEC-48,Streetlights,Underground Cable Fault,P3-Medium,0.48,2025-09-08T18:58:35,,Rejected,,CPDL / Chandigarh Electricity Department,Er. Gurmeet Pal,,30.709421,76.801997,
GRV-2025-00008,Sewage Smell issue in Sector 17,"The drain near rose garden, Sector 17 has not been cleaned for months. It is completely blocked.",Web Portal,SEC-17,Sewerage,Sewage Smell,P3-Medium,0.55,2025-12-11T16:42:22,2025-12-17T01:42:22,Resolved,5,MCC Public Health Department,Amarjit Kaur,3,30.723997,76.7526,Sewage overflow cleaned
GRV-2025-00009,"Broken footpath, risk to pedestrians in Sector 52",Road divider near Sector 52 sukhna lake road is broken and poses a danger to motorists. Please take immediate action as the situation is worsening.,Mobile App,SEC-52,Roads,Broken Footpath,P3-Medium,0.44,2025-08-18T10:39:56,2025-08-23T12:39:56,Resolved,5,MCC Engineering Department,Jagtar Singh,3,30.757355,76.778293,Pothole filled with bitumen
GRV-2025-00010,Short Circuit Risk issue in Sector 49,More than half the streetlights in Sector 49 are non-functional. The entire area feels unsafe after sunset.,Mobile App,SEC-49,Streetlights,Short Circuit Risk,P4-Low,0.19,2025-05-09T10:27:32,2025-05-19T12:27:32,Resolved,10,CPDL / Chandigarh Electricity Department,SDO Pankaj,3,30.713173,76.765813,New LED light installed
